2026-05-16 01:24:34,432 | INFO | ai.pipeline | ============================================================
2026-05-16 01:24:34,432 | INFO | ai.pipeline |    AI Traffic Intelligence Engine — Starting
2026-05-16 01:24:34,433 | INFO | ai.pipeline | ============================================================
2026-05-16 01:24:34,433 | INFO | ai.core.detector | Loading YOLO model: models/yolov8n.pt on device=cpu
2026-05-16 01:24:34,459 | INFO | ai.core.detector | Model loaded successfully.
2026-05-16 01:24:34,460 | INFO | ai.core.tracker | VehicleTracker initialized | px/m=91.4 | stop_threshold=3.0 km/h
2026-05-16 01:24:34,460 | INFO | ai.core.lane_manager | LaneManager initialized with 2 lanes.
2026-05-16 01:24:34,462 | INFO | ai.analytics.traffic_analyzer | Homography built (inliers=4/4)
2026-05-16 01:24:34,462 | INFO | ai.analytics.event_logger | EventLogger ready. Snapshots -> outputs/
2026-05-16 01:24:34,462 | INFO | ai.pipeline | All modules initialized successfully.
2026-05-16 01:24:34,475 | INFO | ai.pipeline | Camera opened | source=datasets/traffic.mp4 | resolution=640x360
2026-05-16 01:24:34,475 | INFO | ai.pipeline | Pipeline running — press Q to stop.
2026-05-16 01:24:35,196 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 3, 4, 5, 6]
2026-05-16 01:24:35,282 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 2, 3, 4, 5, 6]
2026-05-16 01:24:35,359 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 3, 4, 5, 6]
2026-05-16 01:24:35,438 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 3, 4, 5, 6]
2026-05-16 01:24:35,517 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 3, 4, 5, 6, 9]
2026-05-16 01:24:35,589 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9]
2026-05-16 01:24:35,669 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 3, 4, 5, 6, 9]
2026-05-16 01:24:35,741 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9]
2026-05-16 01:24:35,822 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9]
2026-05-16 01:24:35,899 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9]
2026-05-16 01:24:35,976 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9]
2026-05-16 01:24:36,052 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 5, 6, 9]
2026-05-16 01:24:36,130 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9]
2026-05-16 01:24:36,206 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 16]
2026-05-16 01:24:36,283 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:24:36,362 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:24:36,437 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:24:36,517 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:24:36,592 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:24:36,672 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:24:36,749 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:24:36,827 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:24:36,908 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:24:36,983 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 01:24:37,060 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 01:24:37,142 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 01:24:37,213 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 01:24:37,291 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 01:24:37,366 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
