2026-05-16 01:21:47,839 | INFO | ai.pipeline | ============================================================
2026-05-16 01:21:47,839 | INFO | ai.pipeline |    AI Traffic Intelligence Engine — Starting
2026-05-16 01:21:47,840 | INFO | ai.pipeline | ============================================================
2026-05-16 01:21:47,840 | INFO | ai.core.detector | Loading YOLO model: models/yolov8n.pt on device=cpu
2026-05-16 01:21:47,862 | INFO | ai.core.detector | Model loaded successfully.
2026-05-16 01:21:47,862 | INFO | ai.core.tracker | VehicleTracker initialized | px/m=91.4 | stop_threshold=3.0 km/h
2026-05-16 01:21:47,862 | INFO | ai.core.lane_manager | LaneManager initialized with 2 lanes.
2026-05-16 01:21:47,866 | INFO | ai.analytics.traffic_analyzer | Homography built (inliers=4/4)
2026-05-16 01:21:47,866 | INFO | ai.analytics.event_logger | EventLogger ready. Snapshots -> outputs/
2026-05-16 01:21:47,866 | INFO | ai.pipeline | All modules initialized successfully.
2026-05-16 01:21:47,881 | INFO | ai.pipeline | Camera opened | source=datasets/traffic.mp4 | resolution=640x360
2026-05-16 01:21:47,881 | INFO | ai.pipeline | Pipeline running — press Q to stop.
2026-05-16 01:21:48,522 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 3, 4, 5, 6]
2026-05-16 01:21:48,613 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 2, 3, 4, 5, 6]
2026-05-16 01:21:48,701 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 3, 4, 5, 6]
2026-05-16 01:21:48,776 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 3, 4, 5, 6]
2026-05-16 01:21:48,853 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 3, 4, 5, 6, 9]
2026-05-16 01:21:48,931 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 3, 4, 5, 6, 9]
2026-05-16 01:21:49,010 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [1, 3, 4, 5, 6, 9]
2026-05-16 01:21:49,084 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9]
2026-05-16 01:21:49,163 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9]
2026-05-16 01:21:49,244 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9]
2026-05-16 01:21:49,317 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9]
2026-05-16 01:21:49,394 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 5, 6, 9]
2026-05-16 01:21:49,471 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9]
2026-05-16 01:21:49,545 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 16]
2026-05-16 01:21:49,623 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:21:49,704 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:21:49,782 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:21:49,860 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:21:49,937 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:21:50,013 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:21:50,089 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:21:50,168 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:21:50,244 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16]
2026-05-16 01:21:50,320 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 01:21:50,398 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 01:21:50,478 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 01:21:50,553 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 01:21:50,633 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 01:21:50,710 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
2026-05-16 01:21:50,789 | WARNING | ai.pipeline | Sudden stop detected — track IDs: [3, 4, 5, 6, 9, 13, 16, 19]
